stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1730078413,Building 18,,22.3107992,39.1019927,,
1730078895,Tamimi,,22.3150362,39.1050146,,
3497706670,Beach,,22.2933722,39.0906187,,
3497706671,WSC,,22.289725,39.0931726,,
3378493791,Building 14,,22.3067355,39.1064616,,
3378494593,Clinic,,22.3146615,39.1058203,,
2102394342,G-1507,,22.3212992,39.107038,,
3378493792,Building 16,,22.3100123,39.1055171,,
3561500596,G-1553,,22.3263424,39.1085745,,
3561500597,G-1616,,22.3217516,39.1061058,,
3561500598,G-1626,,22.3234812,39.105893,,
3561500599,G-1769,,22.3280336,39.1070144,,
3561500600,G-1840,,22.3246414,39.1043801,,
3561500601,G-1881,,22.3278202,39.105332,,
3561500602,G-2134,,22.3253799,39.1038506,,
3561500604,G-3612,,22.3176689,39.104783,,
3561500606,G-3640,,22.3202136,39.1061799,,
3561500607,G-3655,,22.3192974,39.1051917,,
1474848628,G-1427,,22.3236671,39.1077298,,
2689870548,G-1531,,22.3235172,39.1067415,,
447946604,Transport Building 1,,22.3068173,39.1215558,,
646519188,Building 18,,22.3106889,39.1021097,,
3378608085,Building 14,,22.3067958,39.1063788,,
3378677968,CSOB,,22.3065093,39.1190932,,
3378677969,Central Production Unit,,22.3048171,39.1205853,,
3378677970,Security Building & ID Office,,22.3056458,39.1185957,,
1143947675,Chemical Warehouse,,22.3060155,39.1152383,,
3497706672,Golf,,22.3244635,39.1166637,,
1410252038,Gardens School,,22.3235075,39.1100757,,
3378664472,G-3151,,22.3164898,39.1086796,,
3378664473,G-3176,,22.3179733,39.1104274,,
3639801451,G-1026,,22.3237811,39.112755,,
3639801454,G-1141,,22.32345,39.1119254,,
3639801456,G-1235,,22.3237217,39.1111625,,
3639801457,G-3106,,22.3150113,39.107482,,
3639801458,G-3170,,22.3178515,39.1100179,,
3639801459,G-3175,,22.3179061,39.1100631,,
3639801460,G-3194,,22.319247,39.1103662,,
3639801461,G-3217,,22.3205769,39.1125363,,
3639801462,G-3382,,22.3202334,39.1096978,,
3639801463,G-3452,,22.3188437,39.1092055,,
3378664470,G-3045,,22.3163998,39.1099014,,
472290870,I-5716,,22.3133479,39.093047,,
481884999,I-5614,,22.3130734,39.0940889,,
472288185,H-4206A,,22.3140499,39.0979159,,
3639841605,HES,,22.3167605,39.1005734,,
3639841606,I-5202,,22.317057,39.0974219,,
3639841607,I-522M,,22.3200492,39.0935909,,
3639841608,I-535M,,22.3236919,39.0937054,,
3639841609,I-548M,,22.3222517,39.0923142,,
3639841610,I-5511,,22.3159075,39.0954934,,
3639841611,I-5605,,22.3152426,39.0943068,,
3639841612,I-5630,,22.3089727,39.0938532,,
3639841613,I-5732,,22.3108087,39.0932962,,
3639841614,IRC,,22.3165192,39.0924748,,
3639841615,Kaust Inn,,22.3130181,39.1014148,,
