trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
RE1D,06:44:00,06:44:00,G-1507,14,,
RE1D,06:45:00,06:45:00,BUILDING_18,15,,
RE1D,06:46:00,06:46:00,BUILDING_14,16,,
RE1D,06:48:00,06:48:00,BUILDING_16,17,,
RE1D,06:50:00,06:50:00,CLINIC,18,,
RE1D,06:53:00,06:53:00,,19,,
RE1D,06:55:00,06:55:00,,20,,
YE2D,06:50:00,06:50:00,TAMIMI,1,,
YE2D,06:53:00,06:53:00,BUILDING_16,2,,
YE2D,06:57:00,06:57:00,CHEMICAL_WAR,3,,
YE2D,06:59:00,06:59:00,CSOB,4,,
CA2E,06:30:00,06:30:00,TAMIMI,1,,
CA2E,06:32:00,06:32:00,CLINIC_1,2,,
CA2E,06:35:00,06:35:00,BUILDING_16,3,,
CA2E,06:38:00,06:38:00,BUILDING_14_1,4,,
CA2E,06:40:00,06:40:00,BUILDING_18_1,5,,
BL2D,06:35:00,06:35:00,TAMIMI,1,,
BL2D,06:36:00,06:36:00,HARBOR_EAST,2,,
BL2D,06:37:00,06:37:00,G-3961,3,,
BL2D,06:38:00,06:38:00,HRC,4,,
BL2D,06:39:00,06:39:00,H-4207A,5,,
BL2D,06:41:00,06:41:00,I-5231,6,,
BL2D,06:42:00,06:42:00,I-5244,7,,
BL2D,06:43:00,06:43:00,I-5318,8,,
BL2D,06:44:00,06:44:00,I-5551,9,,
BL2D,06:45:00,06:45:00,I-5567,10,,
BL2D,06:46:00,06:46:00,OASIS,11,,
BL2D,06:47:00,06:47:00,I-5748,12,,
BL2D,06:48:00,06:48:00,I-5764,13,,
BL2D,06:49:00,06:49:00,AL_MARSA,14,,
BL2D,06:50:00,06:50:00,H-4104,15,,
BL2D,06:51:00,06:51:00,H-4113A,16,,
BL2D,06:52:00,06:52:00,H-4119,17,,
BL2D,06:53:00,06:53:00,GRAND_MOSQUE,18,,
BL2D,06:55:00,06:55:00,BUILDING_18,19,,
BL2D,06:57:00,06:57:00,BUILDING_14,20,,
BL2D,07:00:00,07:00:00,BUILDING_16,21,,
BL2D,07:02:00,07:02:00,CLINIC,22,,
OR2D,06:40:00,06:40:00,HES,1,,
OR2D,06:42:00,06:42:00,I-5202,2,,
OR2D,06:43:00,06:43:00,I-5511,3,,
OR2D,06:44:00,06:44:00,I-5605,4,,
OR2D,06:45:00,06:45:00,I-522M,5,,
OR2D,06:47:00,06:47:00,I-535M,6,,
OR2D,06:48:00,06:48:00,I-548M,7,,
OR2D,06:49:00,06:49:00,IRC,8,,
OR2D,06:50:00,06:50:00,I-5716,9,,
OR2D,06:51:00,06:51:00,I-5732,10,,
OR2D,06:52:00,06:52:00,I-5630,11,,
OR2D,06:53:00,06:53:00,I-5614,12,,
OR2D,06:54:00,06:54:00,H-4206A,13,,
OR2D,06:55:00,06:55:00,KAUST_INN,14,,
OR2D,06:56:00,06:56:00,BUILDING_18,15,,
OR2D,06:57:00,06:57:00,BUILDING_14,16,,
OR2D,06:58:00,06:58:00,BUILDING_16,17,,
OR2D,07:00:00,07:00:00,CLINIC,18,,
OR2D,07:03:00,07:03:00,,19,,
OR2D,07:05:00,07:05:00,,20,,
GR2D,06:35:00,06:35:00,TAMIMI,1,,
GR2D,06:36:00,06:36:00,G-3727,2,,
GR2D,06:37:00,06:37:00,G-3749,3,,
GR2D,06:38:00,06:38:00,G-3770,4,,
GR2D,06:39:00,06:39:00,G-1811,5,,
GR2D,06:40:00,06:40:00,G-2307,6,,
GR2D,06:41:00,06:41:00,G-2323,7,,
GR2D,06:42:00,06:42:00,G-2341,8,,
GR2D,06:43:00,06:43:00,G-2357,9,,
GR2D,06:44:00,06:44:00,G-2237,10,,
GR2D,06:45:00,06:45:00,G-2141,11,,
GR2D,06:46:00,06:46:00,G-1749,12,,
GR2D,06:47:00,06:47:00,G-1433,13,,
GR2D,06:48:00,06:48:00,G-1705,14,,
GR2D,06:49:00,06:49:00,G-3805,15,,
GR2D,06:50:00,06:50:00,G-3754,16,,
GR2D,06:51:00,06:51:00,CLINIC,17,,
GR2D,06:53:00,06:53:00,BUILDING_16,18,,
GR2D,06:55:00,06:55:00,BUILDING_14_1,19,,
GR2D,06:58:00,06:58:00,BUILDING_18_1,20,,
GR2D,07:00:00,07:00:00,,21,,
GY2D,06:40:00,06:40:00,TAMIMI,1,,
GY2D,06:41:00,06:41:00,G-3417,2,,
GY2D,06:42:00,06:42:00,G-3443,3,,
GY2D,06:44:00,06:44:00,G-1317,4,,
GY2D,06:45:00,06:45:00,G-1364,5,,
GY2D,06:46:00,06:46:00,G-1250,6,,
GY2D,06:47:00,06:47:00,G-1164,7,,
GY2D,06:48:00,06:48:00,G-1174,8,,
GY2D,06:49:00,06:49:00,G-2277,9,,
GY2D,06:50:00,06:50:00,G-2261,10,,
GY2D,06:51:00,06:51:00,G-2014,11,,
GY2D,06:52:00,06:52:00,G-1785,12,,
GY2D,06:53:00,06:53:00,G-1660,13,,
GY2D,06:54:00,06:54:00,G-1445,14,,
GY2D,06:55:00,06:55:00,G-1427_1,15,,
GY2D,06:56:00,06:56:00,G-3446,16,,
GY2D,06:57:00,06:57:00,G-3831,17,,
GY2D,06:59:00,06:59:00,CLINIC,18,,
GY2D,07:01:00,07:01:00,BUILDING_16,19,,
GY2D,07:04:00,07:04:00,BUILDING_14_1,20,,
GY2D,07:06:00,07:06:00,BUILDING_18_1,21,,
PU2D,06:45:00,06:45:00,TAMIMI,1,,
PU2D,06:47:00,06:47:00,G-3151,2,,
PU2D,06:48:00,06:48:00,G-3170,3,,
PU2D,06:49:00,06:49:00,G-3194,4,,
PU2D,06:50:00,06:50:00,G-3217,5,,
PU2D,06:51:00,06:51:00,G-1026,6,,
PU2D,06:52:00,06:52:00,G-1141,7,,
PU2D,06:53:00,06:53:00,G-1235,8,,
PU2D,06:54:00,06:54:00,GARDENS_SCHO,9,,
PU2D,06:55:00,06:55:00,G-3382,10,,
PU2D,06:56:00,06:56:00,G-3452,11,,
PU2D,06:57:00,06:57:00,G-3175,12,,
PU2D,06:58:00,06:58:00,G-3176,13,,
PU2D,06:59:00,06:59:00,G-3045,14,,
PU2D,07:00:00,07:00:00,G-3106,15,,
PU2D,07:01:00,07:01:00,BUILDING_14,16,,
PU2D,07:02:00,07:02:00,BUILDING_16,17,,
PU2D,07:04:00,07:04:00,CLINIC,18,,
PU2D,07:06:00,07:06:00,,19,,
PU2D,07:08:00,07:08:00,,20,,
PU2D,07:11:00,07:11:00,,21,,
PU2D,07:13:00,07:13:00,,22,,
RE2D,06:45:00,06:45:00,TAMIMI,1,,
