trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
RED1,06:43:00,06:43:00,G-1531,13,,
RED1,06:44:00,06:44:00,G-1507,14,,
RED1,06:45:00,06:45:00,G-3522,15,,
RED1,06:46:00,06:46:00,G-3621,16,,
RED1,06:48:00,06:48:00,CLINIC,17,,
RED1,06:50:00,06:50:00,BUILDING_16,18,,
RED1,06:53:00,06:53:00,BUILDING_14_1,19,,
RED1,06:55:00,06:55:00,BUILDING_18_1,20,,
YED1,06:50:00,06:50:00,TAMIMI,1,,
YED1,06:53:00,06:53:00,BUILDING_16,2,,
YED1,06:57:00,06:57:00,CHEMICAL_WAR,3,,
YED1,06:59:00,06:59:00,CSOB,4,,
YED1,07:01:00,07:01:00,TRANSPORT_BU,5,,
YED1,07:02:00,07:02:00,CENTRAL_PROD,6,,
YED1,07:04:00,07:04:00,SECURITY_BUI,7,,
YED1,07:07:00,07:07:00,BUILDING_14,8,,
YED1,07:09:00,07:09:00,BUILDING_18,9,,
YED1,07:11:00,07:11:00,CLINIC,10,,
CAE1,06:30:00,06:30:00,TAMIMI,1,,
CAE1,06:32:00,06:32:00,CLINIC_1,2,,
CAE1,06:35:00,06:35:00,BUILDING_16,3,,
CAE1,06:38:00,06:38:00,BUILDING_14,4,,
CAE1,06:40:00,06:40:00,BUILDING_18,5,,
BLD2,06:35:00,06:35:00,TAMIMI,1,,
BLD2,06:36:00,06:36:00,HARBOR_EAST,2,,
BLD2,06:37:00,06:37:00,G-3961,3,,
BLD2,06:38:00,06:38:00,HRC,4,,
BLD2,06:39:00,06:39:00,H-4207A,5,,
BLD2,06:41:00,06:41:00,I-5231,6,,
BLD2,06:42:00,06:42:00,I-5244,7,,
BLD2,06:43:00,06:43:00,I-5318,8,,
BLD2,06:44:00,06:44:00,I-5551,9,,
BLD2,06:45:00,06:45:00,I-5567,10,,
BLD2,06:46:00,06:46:00,OASIS,11,,
BLD2,06:47:00,06:47:00,I-5748,12,,
BLD2,06:48:00,06:48:00,I-5764,13,,
BLD2,06:49:00,06:49:00,AL_MARSA,14,,
BLD2,06:50:00,06:50:00,H-4104,15,,
BLD2,06:51:00,06:51:00,H-4113A,16,,
BLD2,06:52:00,06:52:00,H-4119,17,,
BLD2,06:53:00,06:53:00,GRAND_MOSQUE,18,,
BLD2,06:55:00,06:55:00,BUILDING_18_1,19,,
BLD2,06:57:00,06:57:00,BUILDING_14_1,20,,
BLD2,07:00:00,07:00:00,BUILDING_16,21,,
BLD2,07:02:00,07:02:00,CLINIC,22,,
ORD2,06:40:00,06:40:00,TAMIMI,1,,
ORD2,06:42:00,06:42:00,HES,2,,
ORD2,06:43:00,06:43:00,I-5202,3,,
ORD2,06:44:00,06:44:00,I-5511,4,,
ORD2,06:45:00,06:45:00,I-5605,5,,
ORD2,06:47:00,06:47:00,I-522M,6,,
ORD2,06:48:00,06:48:00,I-535M,7,,
ORD2,06:49:00,06:49:00,I-548M,8,,
ORD2,06:50:00,06:50:00,IRC,9,,
ORD2,06:51:00,06:51:00,I-5716,10,,
ORD2,06:52:00,06:52:00,I-5732,11,,
ORD2,06:53:00,06:53:00,I-5630,12,,
ORD2,06:54:00,06:54:00,I-5614,13,,
ORD2,06:55:00,06:55:00,I-5529,14,,
ORD2,06:56:00,06:56:00,H-4206A,15,,
ORD2,06:57:00,06:57:00,KAUST_INN,16,,
ORD2,06:58:00,06:58:00,BUILDING_18_1,17,,
ORD2,07:00:00,07:00:00,BUILDING_14_1,18,,
ORD2,07:03:00,07:03:00,BUILDING_16,19,,
ORD2,07:05:00,07:05:00,CLINIC,20,,
GRD2,06:35:00,06:35:00,TAMIMI,1,,
GRD2,06:36:00,06:36:00,G-3727,2,,
GRD2,06:37:00,06:37:00,G-3749,3,,
GRD2,06:38:00,06:38:00,G-3770,4,,
GRD2,06:39:00,06:39:00,G-1811,5,,
GRD2,06:40:00,06:40:00,G-2307,6,,
GRD2,06:41:00,06:41:00,G-2323,7,,
GRD2,06:42:00,06:42:00,G-2341,8,,
GRD2,06:43:00,06:43:00,G-2357,9,,
GRD2,06:44:00,06:44:00,G-2237,10,,
GRD2,06:45:00,06:45:00,G-2141,11,,
GRD2,06:46:00,06:46:00,G-1749,12,,
GRD2,06:47:00,06:47:00,GSS,13,,
GRD2,06:48:00,06:48:00,G-1433,14,,
GRD2,06:49:00,06:49:00,G-1705,15,,
GRD2,06:50:00,06:50:00,G-3805,16,,
GRD2,06:51:00,06:51:00,G-3754,17,,
GRD2,06:53:00,06:53:00,CLINIC,18,,
GRD2,06:55:00,06:55:00,BUILDING_16,19,,
GRD2,06:58:00,06:58:00,BUILDING_14,20,,
GRD2,07:00:00,07:00:00,BUILDING_18,21,,
GYD2,06:40:00,06:40:00,TAMIMI,1,,
GYD2,06:41:00,06:41:00,G-3417,2,,
GYD2,06:42:00,06:42:00,G-3443,3,,
GYD2,06:44:00,06:44:00,G-1317,4,,
GYD2,06:45:00,06:45:00,G-1364,5,,
GYD2,06:46:00,06:46:00,G-1250,6,,
GYD2,06:47:00,06:47:00,G-1164,7,,
GYD2,06:48:00,06:48:00,G-1174,8,,
GYD2,06:49:00,06:49:00,G-2277,9,,
GYD2,06:50:00,06:50:00,G-2261,10,,
GYD2,06:51:00,06:51:00,G-2014,11,,
GYD2,06:52:00,06:52:00,G-1785,12,,
GYD2,06:53:00,06:53:00,G-1660,13,,
GYD2,06:54:00,06:54:00,G-1445,14,,
GYD2,06:55:00,06:55:00,G-1427,15,,
GYD2,06:56:00,06:56:00,G-3446,16,,
GYD2,06:57:00,06:57:00,G-3831,17,,
GYD2,06:59:00,06:59:00,CLINIC,18,,
GYD2,07:01:00,07:01:00,BUILDING_16,19,,
GYD2,07:04:00,07:04:00,BUILDING_14,20,,
GYD2,07:06:00,07:06:00,BUILDING_18,21,,
PUD2,06:45:00,06:45:00,TAMIMI,1,,
PUD2,06:47:00,06:47:00,G-3151,2,,
PUD2,06:48:00,06:48:00,G-3170,3,,
PUD2,06:49:00,06:49:00,G-3194,4,,
PUD2,06:50:00,06:50:00,G-3217,5,,
PUD2,06:51:00,06:51:00,G-1026,6,,
PUD2,06:52:00,06:52:00,G-1141,7,,
PUD2,06:53:00,06:53:00,G-1235,8,,
PUD2,06:54:00,06:54:00,GARDENS_SCHO,9,,
PUD2,06:55:00,06:55:00,G-3382,10,,
PUD2,06:56:00,06:56:00,G-3452,11,,
PUD2,06:57:00,06:57:00,G-3175,12,,
PUD2,06:58:00,06:58:00,G-3176,13,,
PUD2,06:59:00,06:59:00,G-3045,14,,
PUD2,07:00:00,07:00:00,G-3106,15,,
PUD2,07:01:00,07:01:00,BUILDING_18_1,16,,
PUD2,07:02:00,07:02:00,BUILDING_14_1,17,,
PUD2,07:04:00,07:04:00,BUILDING_16,18,,
PUD2,07:06:00,07:06:00,CLINIC,19,,
PUD2,07:08:00,07:08:00,,20,,
PUD2,07:11:00,07:11:00,,21,,
PUD2,07:13:00,07:13:00,,22,,
RED2,06:45:00,06:45:00,TAMIMI,1,,
RED2,06:47:00,06:47:00,G-3612,2,,
RED2,06:48:00,06:48:00,G-3655,3,,
RED2,06:49:00,06:49:00,G-3640,4,,
RED2,06:50:00,06:50:00,G-1616,5,,
RED2,06:51:00,06:51:00,G-1626,6,,
RED2,06:52:00,06:52:00,G-1840,7,,
RED2,06:53:00,06:53:00,G-2134,8,,
RED2,06:54:00,06:54:00,G-1881,9,,
RED2,06:55:00,06:55:00,G-1769,10,,
RED2,06:56:00,06:56:00,G-1553,11,,
RED2,06:57:00,06:57:00,GES,12,,
